ElapsedSeconds,CPU Usage (%),Memory Usage (MB),Network Received (MB),Network Sent (MB),Network Receive Traffic (Mbps),Network Send Traffic (Mbps)
97.27341771125793,2.5,1831.671875,2908.737624168396,2782.4668111801147,0.009431347794491778,0.0097306461045159
97.3752589225769,12.5,1832.41015625,2909.6185302734375,2783.349091529846,0.0723720677953247,0.07248497078157783
97.47662854194641,0.0,1832.41015625,2909.618642807007,2783.349305152893,9.235737511172681e-06,1.7532247478836273e-05
97.57831883430481,12.2,1832.90234375,2910.469267845154,2784.1984167099,0.0697388557875359,0.06961477239210813
97.67982053756714,0.0,1833.1484375,2910.6592950820923,2784.388258934021,0.015563274862110796,0.0155481222693755
97.78151893615723,10.3,1833.88671875,2911.5616455078125,2785.26863861084,0.07382584648204295,0.07202830853087144
97.88294410705566,2.4,1833.88671875,2911.5829067230225,2785.3095388412476,0.0017376849790465894,0.0033427871039908084
97.98468470573425,2.4,1833.89453125,2911.6729459762573,2785.399256706238,0.00735129197019044,0.007325052094389923
98.08609628677368,15.0,1820.96484375,2912.833249092102,2786.5561170578003,0.09463548125739296,0.09435468596325375
98.18779802322388,7.1,1821.06640625,2913.0233631134033,2786.7475900650024,0.015489828685743848,0.015600554126439237
98.2890944480896,10.3,1821.796875,2913.9893770217896,2787.7062883377075,0.07862633500170631,0.07803089676130082
98.39039874076843,4.9,1822.04296875,2914.0957918167114,2787.816994667053,0.008652453595782136,0.009001392880814217
98.49179172515869,12.5,1822.78125,2915.235701560974,2788.954161643982,0.09258921778526381,0.09236643639112384
98.59345293045044,4.9,1823.02734375,2915.5858840942383,2789.302882194519,0.028414262639624568,0.02829563547454641
98.69497013092041,14.3,1823.765625,2916.5798025131226,2790.295557975769,0.0805648691167,0.08046414360798328
98.79670691490173,2.5,1824.01171875,2916.939748764038,2790.6488332748413,0.029146416892260673,0.028606240843760778
98.89833855628967,5.4,1824.99609375,2918.0658836364746,2791.775948524475,0.09109434102742299,0.091173644862984
98.99971151351929,4.9,1825.234375,2918.590181350708,2792.300768852234,0.042367615518701864,0.042409847037755875
99.10113668441772,19.5,1826.21875,2919.62469291687,2793.3328065872192,0.08351158025211809,0.08331187871411168
99.20244598388672,53.7,1826.7109375,2919.6257648468018,2793.333830833435,8.644383077528042e-05,8.259846463759001e-05
99.30330181121826,100.0,1843.44140625,2919.626190185547,2793.334349632263,3.426582901952508e-05,4.17950918982548e-05
99.40416431427002,100.0,1843.44140625,2919.626190185547,2793.334349632263,0.0,0.0
99.5050163269043,94.9,1789.74609375,2919.626304626465,2793.334349632263,9.200815974364687e-06,0.0
99.60587334632874,100.0,1789.75,2919.626304626465,2793.334349632263,0.0,0.0
99.70678067207336,97.6,1818.296875,2919.626304626465,2793.334349632263,0.0,0.0
99.8076741695404,100.0,1818.296875,2919.626304626465,2793.334349632263,0.0,0.0
99.90913486480713,92.7,1790.6953125,2919.626304626465,2793.334349632263,0.0,0.0
100.00997972488403,100.0,1809.75390625,2919.626304626465,2793.334349632263,0.0,0.0
100.11085867881775,97.5,1824.2734375,2919.626304626465,2793.334349632263,0.0,0.0
100.21175408363342,100.0,1830.671875,2919.626304626465,2793.334349632263,0.0,0.0
100.31242227554321,95.1,1818.40234375,2919.626304626465,2793.334349632263,0.0,0.0
100.41324734687805,100.0,1818.40234375,2919.626304626465,2793.334349632263,0.0,0.0
100.51412677764893,97.5,1843.01171875,2919.626304626465,2793.334349632263,0.0,0.0
100.61501026153564,100.0,1843.01171875,2919.626304626465,2793.334349632263,0.0,0.0
100.71601986885071,95.0,1806.16015625,2919.626304626465,2793.334349632263,0.0,0.0
100.8168671131134,97.6,1820.92578125,2919.626304626465,2793.334349632263,0.0,0.0
100.91775131225586,100.0,1828.80078125,2919.626304626465,2793.334349632263,0.0,0.0
101.0186059474945,100.0,1828.68359375,2919.626304626465,2793.334349632263,0.0,0.0
101.11952257156372,95.2,1789.08984375,2919.626304626465,2793.334349632263,0.0,0.0
101.22036504745483,100.0,1789.08984375,2919.626304626465,2793.334349632263,0.0,0.0
101.32124900817871,97.6,1794.87109375,2919.626304626465,2793.334349632263,0.0,0.0
101.42208576202393,100.0,1795.1171875,2919.626304626465,2793.334349632263,0.0,0.0
101.5229320526123,97.6,1796.1484375,2919.626419067383,2793.334349632263,9.01793639367651e-06,0.0
101.62380242347717,97.5,1796.39453125,2919.626419067383,2793.334349632263,0.0,0.0
101.72469854354858,100.0,1815.8359375,2919.626419067383,2793.334349632263,0.0,0.0
101.82554006576538,97.4,1815.8359375,2919.6265535354614,2793.334466934204,1.0564585547117806e-05,9.215915051741064e-06
101.92620944976807,97.4,1825.0625,2919.6265535354614,2793.334466934204,0.0,0.0
102.02704787254333,97.6,1824.93359375,2919.6265535354614,2793.334466934204,0.0,0.0
102.12792682647705,97.5,1826.69140625,2919.6265535354614,2793.334466934204,0.0,0.0
102.22876238822937,97.6,1826.69140625,2919.6265535354614,2793.334466934204,0.0,0.0
102.32959151268005,97.5,1826.69140625,2919.6265535354614,2793.334466934204,0.0,0.0
102.43042063713074,100.0,1785.5390625,2919.6265535354614,2793.334466934204,0.0,0.0
102.53126621246338,97.6,1836.078125,2919.6265535354614,2793.334466934204,0.0,0.0
102.63211131095886,97.5,1820.87109375,2919.6265535354614,2793.334466934204,0.0,0.0
102.73295044898987,100.0,1822.1015625,2919.6265535354614,2793.334466934204,0.0,0.0
102.8338508605957,97.5,1785.1328125,2919.6265535354614,2793.334466934204,0.0,0.0
102.93507838249207,97.7,1821.8359375,2919.6265535354614,2793.334466934204,0.0,0.0
103.03590083122253,97.5,1822.078125,2919.6265535354614,2793.334466934204,0.0,0.0
103.1367359161377,100.0,1774.14453125,2919.6265535354614,2793.334466934204,0.0,0.0
103.23759531974792,97.4,1801.0390625,2919.6265535354614,2793.334466934204,0.0,0.0
103.33845210075378,100.0,1836.71484375,2919.6265535354614,2793.334466934204,0.0,0.0
103.43929100036621,95.3,1748.70703125,2919.6265535354614,2793.334466934204,0.0,0.0
103.54010963439941,100.0,1768.03515625,2919.6266679763794,2793.334466934204,8.842248158541951e-06,0.0
103.64095139503479,97.4,1783.29296875,2919.6266679763794,2793.334466934204,0.0,0.0
103.74217534065247,100.0,1831.52734375,2919.6266679763794,2793.334466934204,0.0,0.0
103.84296369552612,97.6,1831.52734375,2919.6266679763794,2793.334466934204,0.0,0.0
