ElapsedSeconds,CPU Usage (%),Memory Usage (MB),Network Received (MB),Network Sent (MB),Network Receive Traffic (Mbps),Network Send Traffic (Mbps)
509.4268262386322,5.1,1425.4375,6959.644703865051,6871.24499130249,0.0020493445478235338,0.001992688718124061
509.5276589393616,0.0,1425.4375,6959.739872932434,6871.355648994446,0.001494232012148938,0.0017374160560533682
509.62860226631165,2.5,1425.65625,6959.888541221619,6871.512360572815,0.002333751104603539,0.0024600122940077744
509.7294657230377,7.1,1425.65625,6960.073885917664,6871.707116127014,0.002908910840098527,0.003056610493144055
509.8304286003113,0.0,1425.65625,6960.310662269592,6871.9561948776245,0.0037153741894732626,0.003908417177753356
509.93129420280457,7.5,1425.875,6960.598732948303,6872.255362510681,0.0045193645808506745,0.004693457906314082
510.0322177410126,2.5,1425.87109375,6960.8434381484985,6872.517014503479,0.0038382704728597435,0.004104085721592041
510.13375878334045,7.1,1426.08984375,6961.1140241622925,6872.801753044128,0.004243373572284852,0.004465315784291715
510.2355785369873,0.0,1426.30859375,6961.4006605148315,6873.103119850159,0.004494180564372918,0.004725139817092189
510.337441444397,2.5,1426.30859375,6961.620118141174,6873.333779335022,0.0034401963645331966,0.0036157956070861775
510.43926095962524,4.8,1426.74609375,6961.873471260071,6873.601008415222,0.003970746582779401,0.004188221410677618
510.5411207675934,0.0,1426.74609375,6962.163712501526,6873.906695365906,0.004547978286547472,0.004790007123798319
510.64291167259216,7.1,1426.96484375,6962.443257331848,6874.182392120361,0.004379496104730043,0.004319210127523858
510.74457359313965,0.0,1426.96484375,6962.657557487488,6874.426161766052,0.0033566705037240074,0.003818263113022995
510.8464415073395,2.5,1427.40234375,6962.879572868347,6874.659287452698,0.0034768237626051504,0.0036508142988351763
510.9482696056366,0.0,1427.40234375,6963.104495048523,6874.895400047302,0.003521643086872683,0.003696853222135073
511.0500822067261,9.3,1427.83984375,6963.338627815247,6875.141879081726,0.0036651244154019833,0.003858393421787954
511.151908159256,0.0,1428.05859375,6963.644171714783,6875.463601112366,0.004782044549323082,0.005035247260224047
511.25371980667114,4.9,1428.54296875,6963.921841621399,6875.755934715271,0.004344925360679404,0.004574380063438066
511.3555154800415,4.9,1428.76171875,6964.209534645081,6876.036209106445,0.004500869003617808,0.004384806776337676
511.4573624134064,2.5,1428.98046875,6964.487332344055,6876.305435180664,0.004345194252967942,0.004211120519581251
511.5590558052063,4.8,1428.98046875,6964.6938371658325,6876.568346977234,0.003229419077761025,0.004111537756374887
511.6607940196991,2.5,1429.66015625,6964.938223838806,6876.7795152664185,0.003821073270886162,0.0033016919279758657
511.7638430595398,4.9,1429.66015625,6965.225672721863,6877.125561714172,0.004493461379970107,0.005409470832250983
511.86465311050415,2.5,1429.87890625,6965.516028404236,6877.405933380127,0.004538007156518593,0.004381965650502718
511.9661524295807,2.5,1429.87890625,6965.71127986908,6877.565930366516,0.0030510058357126443,0.0025001181914840313
512.0689463615417,4.8,1429.87890625,6965.911866188049,6877.812052726746,0.0031337392418731734,0.0038451440881669035
512.1706826686859,0.0,1430.09765625,6966.155627250671,6878.07835483551,0.003807497318697642,0.004159583791513729
512.272304058075,0.0,1430.09765625,6966.406552314758,6878.342432975769,0.003918620032340728,0.004124027602770439
512.3736777305603,2.4,1430.09765625,6966.609637260437,6878.555579185486,0.0031708880374687214,0.00332798063570913
512.4753048419952,4.9,1430.31640625,6966.796065330505,6878.751631736755,0.0029102369352347747,0.003060479978912975
512.5769371986389,4.9,1430.31640625,6967.059432029724,6879.022579193115,0.004110472869233873,0.004228788877481049
512.6787941455841,0.0,1430.53515625,6967.3335313797,6879.310684204102,0.004277131851063075,0.004495680559075602
512.7806122303009,4.9,1430.75390625,6967.6104555130005,6879.6015625,0.004320352629500877,0.00453805450456926
512.8824028968811,4.9,1431.19140625,6967.805214881897,6879.8061447143555,0.0030378795263231867,0.003191097424281902
512.9842345714569,0.0,1431.19140625,6968.008858680725,6880.020427703857,0.003175829354650596,0.003341747758481716
513.0862233638763,7.1,1431.6484375,6968.331997871399,6880.362234115601,0.0050383608206086734,0.005329418661872866
513.1877932548523,2.5,1431.6484375,6968.534232139587,6880.574501037598,0.0031525967039211433,0.003308994092018977
513.2896721363068,4.9,1432.0859375,6968.817999839783,6880.874195098877,0.004422729941388051,0.004670954083794018
513.3915231227875,2.4,1432.0859375,6969.033282279968,6881.100950241089,0.003354670741364118,0.0035334458322589983
513.4935376644135,2.5,1432.3125,6969.2446546554565,6881.323547363281,0.0032930872150748773,0.003467963755958433
513.5952579975128,2.5,1432.3125,6969.459881782532,6881.5506801605225,0.0033524784152308136,0.0035379267032455484
513.6969232559204,7.0,1432.5546875,6969.774743080139,6881.817556381226,0.004903456234259905,0.004156166153561625
513.7986779212952,2.5,1432.5546875,6969.985493659973,6882.105709075928,0.0032814499357862125,0.004486624151980217
513.9004299640656,2.5,1432.5546875,6970.203576087952,6882.335649490356,0.0033949366883194087,0.003579532547887372
514.0022368431091,2.5,1432.76953125,6970.522173881531,6882.671407699585,0.004958698943193096,0.005225785962188338
514.1039931774139,2.5,1432.76953125,6970.748225212097,6882.909662246704,0.0035175969619578103,0.003707491873721674
514.2054150104523,0.0,1432.98828125,6970.971787452698,6883.14489364624,0.0034781779277223922,0.0036597265243712186
514.3070638179779,2.5,1432.98828125,6971.195471763611,6883.38028717041,0.0034793892854989316,0.00366152504182959
514.4087224006653,2.5,1433.20703125,6971.42040348053,6883.6168575286865,0.0034981011343543952,0.00367910337402259
514.5104925632477,4.9,1433.42578125,6971.637558937073,6883.845500946045,0.0033764980062679566,0.0035551215481622743
514.612270116806,2.4,1433.42578125,6971.8033990859985,6884.019760131836,0.0025780986355127375,0.0027089783265597223
514.7141287326813,7.1,1433.42578125,6972.21254825592,6884.444780349731,0.0063592452133268435,0.006605922692535898
514.815646648407,0.0,1433.42578125,6972.224003791809,6884.455614089966,0.0001780137952410825,0.00016835137478677132
514.9175071716309,0.0,1433.42578125,6972.30660533905,6884.542266845703,0.0012833363960752405,0.0013462778721706479
515.0193068981171,7.3,1433.42578125,6972.309531211853,6884.545503616333,4.5448747470947635e-05,5.0278047234809734e-05
515.1211349964142,0.0,1433.42578125,6972.309895515442,6884.5457191467285,5.657754094981538e-06,3.3472576582875068e-06
515.2229549884796,0.0,1433.671875,6972.309895515442,6884.5457191467285,0.0,0.0
